Date,Ticker,Sector,Base100_Monthly
2022-01-31,XLB,Materials,100.0
2022-02-28,XLB,Materials,98.73297840912889
2022-03-31,XLB,Materials,104.38129628341417
2022-04-30,XLB,Materials,100.68679911428553
2022-05-31,XLB,Materials,101.87093177993012
2022-06-30,XLB,Materials,87.1521623845992
2022-07-31,XLB,Materials,92.51628191449477
2022-08-31,XLB,Materials,89.29544865268231
2022-09-30,XLB,Materials,80.53286512006925
2022-10-31,XLB,Materials,87.72055003916333
2022-11-30,XLB,Materials,97.9869780820903
2022-12-31,XLB,Materials,91.9834258286408
2023-01-31,XLB,Materials,100.23683195365808
2023-02-28,XLB,Materials,96.89757819790894
2023-03-31,XLB,Materials,95.51214514731643
2023-04-30,XLB,Materials,95.38188983135831
2023-05-31,XLB,Materials,88.83362860160285
2023-06-30,XLB,Materials,98.12907725428516
2023-07-31,XLB,Materials,101.50385354452919
2023-08-31,XLB,Materials,98.15275593254333
2023-09-30,XLB,Materials,93.01362450006911
2023-10-31,XLB,Materials,90.06512765797906
2023-11-30,XLB,Materials,97.58437731219448
2023-12-31,XLB,Materials,101.29070930334456
2024-01-31,XLB,Materials,97.34754535853638
2024-02-29,XLB,Materials,103.68265331289193
2024-03-31,XLB,Materials,109.99408258898929
2024-04-30,XLB,Materials,104.94967490376301
2024-05-31,XLB,Materials,108.3836614409754
2024-06-30,XLB,Materials,104.57075281212536
2024-07-31,XLB,Materials,109.10598308975582
2024-08-31,XLB,Materials,111.64002627149804
2024-09-30,XLB,Materials,114.12670306250865
2024-10-31,XLB,Materials,110.58614892181157
2024-11-30,XLB,Materials,112.23209260432034
2024-12-31,XLB,Materials,99.63292176459908
2025-01-31,XLB,Materials,105.13914046668948
2025-02-28,XLB,Materials,105.10361793219461
2025-03-31,XLB,Materials,101.81173056717708
2025-04-30,XLB,Materials,99.33688859818793
2025-05-31,XLB,Materials,102.23801001533106
2025-06-30,XLB,Materials,103.97868647930306
2025-07-31,XLB,Materials,103.88396273205511
2025-08-31,XLB,Materials,109.27176094020885
2025-09-30,XLB,Materials,106.12197274738617
2025-10-31,XLB,Materials,101.44464329756084
2025-11-30,XLB,Materials,105.86146211546992
2025-12-31,XLB,Materials,108.3007725157489
2022-01-31,XLE,Energy,100.0
2022-02-28,XLE,Energy,107.06918050902598
2022-03-31,XLE,Energy,115.95874478864422
2022-04-30,XLE,Energy,114.00182586971282
2022-05-31,XLE,Energy,132.2815524429456
2022-06-30,XLE,Energy,108.47998198203621
2022-07-31,XLE,Energy,118.96237916749321
2022-08-31,XLE,Energy,122.11772183865635
2022-09-30,XLE,Energy,109.25363871899314
2022-10-31,XLE,Energy,136.5291300059512
